Name,Type,Transmission,General,Gram Stain,Morphology,Laboratory,Treatment,Prevention,Disease,Signs,Related,Sources
Acinetobacter,Bacteria,,Hospital acquired; Soldiers returning from Middle East theatre; Frequently drug resistant,Gram negative,Small coccobacilli often in pairs resembling diplococci,Aerobic culture; Non-lactose-fermenting; Oxidase negative,PCN; NSAIDs; Steroids,,,,,
Aggregatibacter spp,Bacteria,,HACEK organism -> Culture negative organisms causing fever of unknown origin (FUO) in endocarditis,Gram negative,,,,,Endocarditis -> Subacute,,,
Actinomyces israelii,Bacteria,,Present in normal human flora; Dental surgery -> Actinomycosis of cervico-facial region (also poor oral hygiene),Gram positive,Branching filaments -> Rods that form chains,Sulfur granules in exudates; Not acid fast; Anaerobe,Penicillin; Clindamycin; Cephalosporins; Tetracyclines; Tacrolides,,Oral/facial abscesses; Actinomycosis -> Abscesses that form sinus tracts to surface,"""Lumpy jaw""; Sulfur granules -> Don't actually contain sulfur",Nocardia -> Also branching bacteria,
Adenovirus,Virus,Close contact (e.g. military barracks); Swimming pools; Spread: Fecal-oral; Spread: Aerosol,"Serotypes 1, 2, 5, 6 -> Endemic in most populations; Serotypes 4, 7 -> Associated with ARDS",,Icosahedral; Non-enveloped DNA,Serology,Supportive -> Self-limited,Infection control; Previous live oral vaccine (discontinued),Respiratiry tract infection; pneumonia; ARDS; Gastroenteritis; Cystitis (transplant patients); Conjunctivitis,,,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 401-409"
Anaplasma phagocytophilum,Bacteria,Tick-borne,Granulocytes,,Intracellular -> Obligate,Morula in granulocyte,,,Human granulocytic anaplasmosis,,Orientia tsutsugamushi -> Other Ricketssial Zoonoses; Ehrlichia spp -> Other Ricketssial Zoonoses; Rickettsia rickettsii -> Other Ricketssial Zoonoses,
Angiostrongylus cantonensis (rat lungworm),Nematode,,Ingestion of snails/slugs or prawns/crabs,,,Eosinophilia,Supportive,,Meningitis -> Eosinophilic,Headache; Paresthesias; Neck stiffness; Photophobia,,
Anisakis simplex,Nematode,Raw/undercooked seafood,Abdominal pain after sushi,,,,Endoscopic removal,Avoid contaminated fish,,Vomiting; Pain; Urticaria -> Mild itchy sensation at back of throat; Severe: Anaphylactic shock,,
Ascaris lumbricoides,Nematode,Soil-transmitted helminth,Giant roundworm (helminth); Common human parasite worldwide; Affects around one-fourth of population (including parts of Southern US),,,Ova in stool,Mebendazole; albendazole,,Migratory pulmonary infiltrate,Eosinophilia,,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 531-533"
Aspergillus fumigatus,Fungus,,Spores -> Airborne; pulmonary symptoms + neutropenia,,Acute angle branching,,Invasive: Voriconazole or amphotericin B; Aspergilloma: Surgical resection + antifungal; ABPA: Corticosteroids + itraconazole,,Invasive Aspergillosis; Chronic necrotizing aspergillosis; Aspergilloma; Allergic bronchopulmonary aspergillosis (ABPA); Allergic sinusitis,Fever; Wheezes; Cough; Hemoptysis; Chest pain; Bronchiectasis,,
Babesia,Protozoa,Ixodes tick,Pt s/p splenectomy,,,,,,Malaria -> In US citizen who hasn't traveled,,,
Bacillus anthracis,Bacteria,Cattle; Goats; Wild animals,Sporeformer; germinates in host and produces toxin; Cutaneous form most common and has mildest symptoms; Inhalational anthrax associated with aerosolization and has high mortality; Bioterrorism agent -> Category A,Gram positive,"Large ""box-car"" shaped rod; Often in chains",Aerobic culture in BSL3; Non-hemolytic; catalase negative; Blood agar -> Large spreading colonies,Ciprofloaxcin; Doxycycline; Penicillin; MUST be initiated promptly post-exposure ,Anthrax vaccine for military personnel and researchers,"Cutaneous Anthrax; Inhalational Anthrax; GI Anthrax (rare); ""Wool-sorters Disease""","Cutaneous: Formation of painless black lesion (eschar); Inhalational: Hemorrhagic mediastinitis, flu-like symptoms early, later progression to respiratory distress, sepsis, meningitis; GI: Abdominal pain/tenderness, bloody stools, ulcers in mouth, esophagus, intestine leading to regional lymphadenopathy, edema, sepsis",,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 564-566"
Bacillus cereus,Bacteria,Fried rice,Sporeformer; Spores in environment contaminate food; produce toxin upon germination; can present as diarrheal or emetic food poisoning; Pre-formed toxin,Gram positive,Rod,Food (vs. patient) can be cultured; Catalase positive; Oxidase negative; Beta hemolytic,Supportive -> Most cases are self-limiting,Proper food handling and cooking,Food poisoning,"Emetic form: Vomiting, abdominal cramps 2-3 hours post-exposure; Diarrheal form: Diarrhea, abdominal cramps 8-24 hours post-exposure",,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 757-758"
Bacteroides fragilis,Bacteria,,Normal colonic flora,Gram negative,Rod,Anaerobic culture; Bile-esculin agar; Anaerobe -> Aerotolerant,Most produce Beta-lactamase,,GI illness -> Especially abscesses,,,
Bartonella bacilliformis,Bacteria,,Sandfly vector,,,,,,Carrión’s disease; Oroya fever,Hemolytic anemia; verruga peruana,,
Bartonella henselae,Bacteria,Cat scratches,Slow-growing organism found in cats; flea vector,Gram negative,Rod,Serological diagnosis; Can visualize organism by Warthin-Starry stain from tissue; Culture not recommended,Azithromycin,,Cat scratch disease; Bacillary angiomatosis -> Immunocompromised,Lymphadenopathy -> Often axillary; Fever,,
Bartonella quintana,Bacteria,,Lice vector,,,,,,Trench fever; Bacillary angiomatosis -> Immunocompromised,Fever -> 5 days,,
Bordetella pertussis,Bacteria,,Produces pertussis toxin,Gram negative,Coccobacillus,Difficult to culture; Culture nasopharyngeal swab on special media such as Bordet-Gengou or Regan-Lowe;,Erythromycin; Azithromycin -> Kids <1 to avoid pyloric stenosis,Infants: Passive IgG from mom x6mo; Kids: DTaP vaccine; Adults: Tdap vaccine; All: Erythromycin,Whooping Cough,Catarrhal phase -> Infectious; Paroxysmal phase -> Classic cough,,
Borrelia burgdorferi,Bacteria,Tick-borne -> Ixodes tick (deer tick),3-stage disease,Does not Gram stain,Spirochete,Serological diagnosis ,Doxycycline -> Kids >8 (stains teeth/bones); Amoxicillin -> Kids <8; Cefuroxime -> Kids <8; Ceftriaxone -> For meningitis or heart block,Remove tick within 36hrs,Lyme Disease; Aseptic meningitis; Endocarditis -> Bacterial; Encephalitis,Erythema migrans (bull's eye); Bell's plasy (CN 7); Arthralgias; AV heart block,,
Borrelia hermsii,Bacteria,Tick-borne -> Soft tick,,,,,,,Endemic relapsing fever,"Recurrent high fever -> 3 days of fever, then 7 days without fever, then 3 days of fever, etc; Headache; Muscle aches; Joint aches",,
Borrelia recurrentis,Bacteria,Lice,,,,,,,Epidemic relapsing fever,Recurrent high fever,,
Blastomyces,Fungus,,The great pretender,,Broad based budding,KOH prep; Cytology; Histology,Itraconazole -> PO,,Looks like: TB; Looks like: Pneumonia; Looks like: Lung cancer,Flu like; Lytic rib lesions; Rash,Coccidioides immitis -> Dimorphic fungus; Histoplasma capsulatum -> Dimorphic fungus; Candida albicans -> Dimorphic fungus; Sporothrix schenkii -> Dimorphic fungus,
Brucella abortus,Bacteria,Cattle,Bioterrorism agent -> Category B; Recurrent fevers in slaughterhouse worker,Gram negative,Rod,,,,Brucellosis; Undulant fever; Meningitis; Endocarditis -> Bacterial,Fever; Chills; Night sweats; Headache; Myalagia; Weight loss; Hepatic lesions; Aarthritis,,
Brugia malayi,Nematode,Arbovirus -> Mosquito borne,Adults located in lymphatics; Microfilariae in blood at night; Tissue Invasive,,,Antigen detection,Diethylcarbamazine (DEC),,Lymphatic filariasis,Lymphangitis; lymphatic obstruction,,
Burkholderia cepacia,Bacteria,,Group of around 20 species; Formerly classified as a Pseudomonas species; Common colonizer of lung in patients with cystic fibrosis,Gram negative,Rod,,,,,,,
California encephalitis virus,Virus,,Bunyavirus,,,,,,,,,
Campylobacter jejuni,Bacteria,Chicken,,Gram negative,Rod; Resembles gull wings,Growth on blood agar with antibiotics at 42C in reduced O2; Oxidase positive; Aerobe -> Microaerophilic,Levofloxacin; Ciprofloxacin; Azithromycin,,Traveler's diarrhea; Guillain Barre syndrome; Reiter syndrome -> Reactive arthritis,,,
Candida albicans,Fungus,,"Most common ""yeast infection""; [i]Forms germ tubes; Yeast found in normal oral, intestinal, and vaginal flora; AIDS defining -> CD4 < 500",Gram positive,Often seen with budding daughter cells,Aerobic or fungal culture; Germtube positive,Over-the-counter azole-based topical treatments; Fluconazole -> Oral; Echinocandins; Amphotericin B,,Oral Candidiasis (Thrush); Yeast infections; Esophagitis,,Coccidioides immitis -> Dimorphic fungus; Histoplasma capsulatum -> Dimorphic fungus; Blastomyces -> Dimorphic fungus; Sporothrix schenkii -> Dimorphic fungus; Gardnerella vaginalis -> Vaginal infections; Trichomonas vaginalis -> Vaginal infections,
Capnocytophaga canimorsus,Bacteria,,Dog and cat bites,Gram negative,Rod,Anaerobic; Capnophilic,Beta-lactam inhibitors; 3rd generation cephalosporins,,Cellulitis; Myocarditis; Endocarditis -> Bacterial; Meningitis,Fevers; Myalgia; Rash; GI complaints,,
Cardiobacterium hominis,Bacteria,,HACEK organism -> Culture negative organisms causing fever of unknown origin (FUO) in endocarditis,Gram negative,Rod,,,,Endocarditis -> Subacute,,,
Chikungunya virus,Virus,Arbovirus -> Mosquito borne,"Tropical environment -> Africa, South Asia",,Togaviridae; RNA,,,,Chikungunya disease,Rash; Back pain; Joint pain; Elderly: Periositis; Newborns: Post-infectious encephalitis,,
Chlamydia trachomatis,Bacteria,STI,Serotypes A-C: Trachoma; Serotypes D-K: Genital infections; Serotypes L1-L3: Lymphogranuloma venereum (LGV); Often coinfection with Gonorrhea,Does not Gram stain -> Gram-negative structure,"Intracellular; Reticulate Body (RB): Intracellular, replicative form; Elementary Body (EB): Extracellular, infectious form",Nucleic Acid Amplification Test (NAAT) -> Indirect fluorescent antibody test on tissue,Pelvic: Azithromycin; Pelvic: Doxycycline; Eye: Erythromycin -> PO,Safe sex,Chlamydia; Pelvic inflammatory disease (PID); Fitz-Hugh-Curtis syndrome -> Perihepatitis; Reiter syndrome -> Reactive arthritis,Clear (not purulent) discharge; LGV: Painless ulcers; LGV: Regional lymphadenopathy; Conjunctivitis -> Adult or infant; Cervicitis; Endometritis; Salpingitis; Urethritis; Epididymitis -> Age <35; Proctitis,"Neisseria gonorrhoeae -> Often coinfection; Haemophilus ducreyi -> Painful genital ulcer, painful inguinal lymphadenopathy; Treponema pallidum -> Painless genital ulcer, painless inguinal lymphadenopathy",
Chlamydophila pneumoniae,Bacteria,STI,,Does not Gram stain -> Gram-negative structure,"Rod; Intracellular; Reticulate Body (RB): Intracellular, replicative form; Elementary Body (EB): Extracellular, infectious form",Serology; Nucleic Acid Amplification Test (NAAT),Doxycycline; Erythromycin; Azithromycin,,"Atypical pneumonia -> ""Walking pneumonia""",,,
Clonorchis sinensis,Fluke,Ingestion of infected freshwater fish,"Also known as ""Chinese liver fluke""; commonly distributed throughout Asia",,,Ova in stool,Praziquantel; Albendazole,,Cholangiocarcinoma,"Chronic: Usually asymptomatic with intermittent abdominal pain, fatigue, anorexia, dyspepsia; Acute (rare): Abodminal pain, fever, fatigue, anorexia, hepatomegaly, eosinophilia",,
Clostridium botulinum,Bacteria,Improperly canned meat/fish; Raw honey,Sporeformer; Toxin-mediated; Flaccid paralysis; Most potent paralytic toxin known; Bioterrorism agent -> Category A,Gram positive,Rod,Culture and toxin detection too slow for Dx -> Clinical Impression and food history; Anaerobic culture -> Strict,Botulinum antitoxin; Ventilation if respiratory involvement,,Botulism; Floppy Baby Syndrome,Progressive flaccid paralysis,Clostridium tetani -> Also causes paralysis,
Clostridium difficile,Bacteria,Fecal-oral,Sporeformer; Toxins produced cause disease; GI disease after antibiotic treatment; Spores easily spread in hospitals and are resistant to alcohol-based antiseptics,Gram positive,Rod,PCR -> For toxin genes; Anaerobic culture,Metronidazole + vancomycin (or fidaxomicin); Vancomycin -> PO (doesn't cross intestinal wall well); Human monoclonal anti-toxin B,,Diarrhea -> Post-antibiotic-treatment-associated; Severe: Pseudomembranous colitis,Leukocytosis,,
Clostridium perfringens,Bacteria,,Sporeformer; Normal intestinal flora,Gram positive,Rod,Anaerobic culture; lysis of RBCs and digests egg yolk in agar; Stormy fermentation in milk,Gas gangrene: Debridement; Gas gangrene: PCN; Gas gangrene: Clindamycin,Proper food handling,Gas gangrene; Foodborne illness,Muscle necrosis (no PMNs),,
Clostridium tetani,Bacteria,,Sporeformer; Caused by infection of wounds by spores; Spastic paralysis; Classically associated with soil,Gram positive,Rod,No major lab tests; Diagnosis based primarily based on H&P; Anaerobe -> Strict,Tetanus Immunoglobulin (TIG); mechanical ventilation may be needed in severe cases,Kids: DTaP vaccine; Adults: Tdap vaccine; Adults: Td vaccine,Tetanus,"Trismus (""lockjaw""); Opisthotonus -> Arching of back muscles; Severe and painful spasms of skeletal muscle",Clostridium botulinum-> Also causes paralysis,
Coccidioides immitis,Fungus,,Southwest US; Inhailed spores in dust (deserts of California),,Arthroconidia -> Environmental form,,Fluconazole,,"Coccidiomycosis (""Valley fever"")",Fatigue; Cough; Fever; Rash,Histoplasma capsulatum -> Dimorphic fungus; Candida albicans -> Dimorphic fungus; Blastomyces -> Dimorphic fungus; Sporothrix schenkii -> Dimorphic fungus,
Colorado Tick Fever Virus,Virus,Tick-borne -> Wood Tick,,,Reovirus; Icosahedral; dsRNA -> 12 segments,Immunofluorescence,,,Colorado Tick Fever,Fever; Chills; Headache; Myalgia; Arthragia; Photophobia; Lethargy,,
Corynebacterium diphtheriae,Bacteria,,Prominent pseudomembrane in throat of affected individuals; Toxin-mediated disease; Largely eliminated in US due to vaccination,Gram positive,"Club-Shaped Rod; ""Chinese letters""",Toxigenicity testing for diptheria toxin; catalase positive,"Antitoxin to neutralize toxin, antibiotics to eradicate organisms",Kids: DTaP vaccine; Adults: Tdap vaccine,Diphtheria,Diphtheria pseudomembrane,,
Coxiella burnetii,Bacteria,Unpasteurized milk; Lifestock,Pneumonia in sheep herder,Gram negative,Rod,,,,Q fever; Atypical pneumonia; Endocarditis -> Bacterial,,,
Coxsackievirus,Virus,,Enterovirus,,(+) ssRNA,,,,"Hand, foot, and mouth disease; Herpangina -> Acute febrile illness; Pleurodynia (Bornholm disease)",,,
Crimean-Congo Hemorrhagic Fever,Virus,Tick-borne,Bunyavirus,,Ambisense RNA,,Supportive; ribavirin,,Crimean-Congo Hemorrhagic Fever,Hemorrhagic fever,,
Cryptococcus neoformans,Fungus,,AIDS defining -> CD4 < 100,,Spherical to oval; Encapsulated; Large capsules around budding yeast,Cryptococcal antigen test; India ink,Mild: Fluconazole; Severe: 5-flucytosine; Meningitis: Amphotericin B,HAART -> If HIV-positive,Meningitis; Pneumonia,Meningismus; Seizures; CN palsies; Headache,,
Cryptosporidium parvum,Protozoa,Unchlorinated pool water; Horse breeder,Protozoan parasite,,Crypto oval body -> 4-6 microns,Acid fast; Smear of fecal sample; Enzyme Immunoassay for cryptosporidium antigens,,,Crypto,"Diarrhea -> Acute, watery/nonbloody",,
Cyclospora cayetanensis,Protozoa,,Reported in tropical and subtropical regions,,,Smear for Oocytes in Stool; PCR detection,,,,,,
Cytomegalovirus (CMV),Virus,,TORCH -> CMV; CMV chorioretinitis an opportunistic infection in patients with AIDS,,Herpesviridae,,Local: Valgancyclovir; Systemic: Cidofovir,,"Congenital: Chorioretinitis; Congenital: Encephalitis; Congenital: Microcephaly; Periventricular calcifications in the brain (cmV = periVentricular); Gastritis; Esophagitis -> Linear lesion, cytoplasmic inclusions; Mononucleosis -> Negative heterophiles","CMV Retinitis -> Yellow-white granular areas, perivascular exudates and hemorrhages (cottage cheese and ketchup)","Herpes Simplex Virus (HSV) -> Esophigitis with circular lesion, nuclear inclusion",
Dengue virus,Virus,,Flavivirus; 4 serotypes; Mosquito-borne -> Aedes mosquitoes,,,,Supportive,,Dengue,Fever -> High; Lymphadenopathy; Myalgia; Arthralgia; Headache -> Retroorbital pain; Rash -> Maculopapular; Hemorrhagic fever; Shock,,
Diphyllobothrium latum,Tapeworm,,Fish tapeworm; Can grow up to 30 feet long,,,,,,B12 deficiency; D. latum lifecycle,Anemia -> Megaloblastic,,Diphyllobothrium (CDC)
Eastern Equine Encephalitis (EEE),Virus,,Togavirus (alphavirus),,Enveloped,Serology,,Vaccine,Eastern Equine Encephalitis,Flu-like symptoms,,
Ebolavirus,Virus,,Bioterrorism agent -> Category A,,Enveloped; (-) ssRNA; Filovirus,ELISA -> IgM; PCR,Supportive,,Ebola Hemorrhagic Fever,Early: Red eyes; Early: Rash; DIC; Hemorrhagic fever,,
Ebstein Barr Virus (EBV),Virus,,Human herpesvirus 4 (HHV-4),,DNA,,Supportive,,Infectious mononucleosis; Burkitt's lymphoma; Hodgkin's lymphoma; Nasopharyngeal carcinoma; Cold Agglutinin Disease -> Autoimmune hemolytic anemia caused by cold-reacting autoantibodies,Erythema multiforme; Pharyngitis: Splenomegaly; Pharyngitis: Anterior + posterior cervical nodes,,
Echinococcus granulosus,Helminth,Dog tapeworm; Humans are incidental hosts (egg ingestion),Associated with dog contact; Cyst rupture may trigger anphylaxis,,,IgG E granulosus serology; Imaging -> Large smooth hydatid cyst often often with internal septations ,Albendazole; Percutaneous therapy (>5cm or septations); Surgery (if rupture) ,,Liver cyst; Lung cyst,"Asymptomatic (for years); Liver: Mass effect (RUQ pain, nausea, vomiting, hepatomegaly); Liver: Rupture (fever, eosinophilia); Lung: Cough; Lung: Chest pain; Lung: Hemoptysis",Entamoeba histolytica -> Liver abscess w/ fever + RUQ pain,
Eggerthella lentum,Bacteria,,Inactivates digoxin -> Cause of digoxin insensitivity in some patients,Gram positive,Rod,,,,,,,E. lentum (NCBI)
Ehrlichia spp,Bacteria,Lone-star tick; White-tail deer,RMSF without the spots,Gram negative,,Intracytoplasmic morula in monocytes; PCR,Doxycycline -> Empiric; Minocycline; Rifampin -> If allergic,,Ehrlichiosis -> Tick borne,Headache; Myalgia; Fatigue; Thrombocytopenia; Leukopenia; Increased ALT/AST/LDH; Confusion,Rickettsia rickettsii -> RMSF; Orientia tsutsugamushi -> Other Ricketssial Zoonoses; Anaplasma phagocytophilum -> Other Ricketssial Zoonoses,
Eikenella corrodens,Bacteria,,Human bites -> Mouth punch; HACEK organism -> Culture negative organisms causing fever of unknown origin (FUO) in endocarditis; Normal human oral flora,Gram negative,"Rod; Small, pleomorphic",Anaerobe -> Facultative; Tiny colonies pit agar surface and releases a bleach smell,PCN; NSAIDs; Steroids,,Bite wound infections; Endocarditis -> Subacute,,,
Entamoeba histolytica,Protozoa,Contaminated food/water,Developing nations,,Target-shaped nucleus,Visualization in stool (O&P x3); Extraintestinal: Needle aspiration; Extraintestinal: Serology; Colon Bx -> Flask-shaped ulcers,Metronidazole,,Colitis; Liver abscess,"Asymtptomatic (90%); Colitis: Mucoid, bloody stools; Colitis: Abdominal pain; Liver abscess: RUQ pain; Liver abscess: Fever; Liver abscess: Complications -> rupture to pleura/peritoneum","Echinococcus granulosus -> Hydatid liver cyst, no fever, no RUQ pain",
Enteroaggregative Escherichia coli (EAggEC or EAEC),Bacteria,,,Gram negative,Rod; Stacked brick appearance,,,,Traveler's diarrhea,Diarrhea -> Inflammatory with occasional blood and mucus (infants and adults),,
Enterococcus,Bacteria,,,Gram positive,Rod,,,,Endocarditis -> UTI patients,,,
Enterobius vermicularis,Nematode,,"Common benign parasite in childhood; Active at night; AKA ""Pinworm""",,,Scotch tape test,Albendazole -> Also treat family,,,Nocturnal anal pruritis,,
Enterohemorrhagic Escherichia coli (EHEC),Bacteria,,"Food poisoning; Crowded places; ""H"" for Hamburgers, HUS, Hemorrhagic colitis, and Hold the abx",Gram negative,Rod,Sorbitol fermenter (SMAC plate),,,Hemorrhagic colitis (bloody diarrhea); Hemolytic uremic syndrome (HUS); Traveler's diarrhea,,,
Enteroinvasive Escherichia coli (EIEC),Bacteria,,"""I"" for identical to Shigella but doesn't produce Shiga toxin",Gram negative,Rod,Lactose fermenter,,,Traveler's diarrhea,Watery diarrhea to dysentery,,
Enteropathogenic Escherichia coli (EPEC),Bacteria,,"""P"" for protracted, pediatric diarrhea in poor countries; Plasmid-mediated virulence factors; Pedestal formation; Passive protection from breast milk",Gram negative,Rod,,,,Traveler's diarrhea,Diarrhea -> Inflants,,
Enterotoxigenic Escherichia coli (ETEC),Bacteria,,"""T"" for Traveler; Two toxins LT and ST",Gram negative,Rod,,,,Traveler's diarrhea,Diarrhea -> Watery,,
Escherichia coli,Bacteria,Fecal-oral,,Gram negative,Rod,Aerobe; Anaerobe -> Facultative; MacConkey Agar -> Isolate gram negative/enterics,Antibiotics -> See up-to-date guidelines; NSAIDs; Steroids,,Urinary tract infection (UTI); Traveler's diarrhea; Meningitis -> Neonates,Epididymitis -> Age >35,Enteroaggregative Escherichia coli (EAggEC or EAEC); Enterohemorrhagic Escherichia coli (EHEC); Enteroinvasive Escherichia coli (EIEC); Enteropathogenic Escherichia coli (EPEC); Enterotoxigenic Escherichia coli (ETEC); Streptococcus agalactiae -> Meningitis in neonates; Streptococcus pneumoniae -> Meningitis in neonates; Listeria monocytogenes -> Meningitis in neonates,
Fasciola hepatica,Fluke,Aquatic plants,Major agricultural pathogen throughout world,,,,Triclabendazole,,,,,
Francisella tularensis,Bacteria,Rabbits (and other small game); Tick-borne; Deer flies,Highly infectious; Bioterrorism agent -> Category A,Gram negative,Coccobacillus,Serology; PCR; Culture not recommended due to low yield and high infectivity; special cysteine-supplemented media,Streptomycin; Supportive,Avoiding tick-infested areas; avoiding handling of wild mammals ,"Tularemia (""Rabbit Fever"")",Ulcerative skin lesion -> Classical presentation,,
Fusobacterium nucleatum,Bacteria,,Indigenous to human oral cavity,Gram negative,Rod; Anaerobic,,,,Periodontal disease; Pleuropulmonary infections; Colorectal cancer -> Linked to; Lemierre's syndrome -> Infectious thrombophlebitis of the internal jugular vein,,,
Gardnerella vaginalis,Bacteria,,Fishy vaginal odor,Gram variable,Rod,Amine whiff test; Beta hemolysis on blood agar,Metronidazole; Clindamycin,,Bacterial Vaginosis,Gray vaginal discharge with fishy odor,Trichomonas vaginalis -> Vaginal infections; Candida albicans -> Vaginal infections,
