Name,Type,Transmission,General,Gram Stain,Morphology,Laboratory,Treatment,Prevention,Disease,Signs,Related,Sources
Plasmodium ovale,Protozoa,Mosquito-borne -> Anopheles mosquito vector,Invades RBCs -> Reticulocytes only; Hypnozoites -> Liver stage (hidden),,Schuffner's dots,Microscopy (thick and thin); Antigen testing; PCR; Malaria Diagnosis Algorithm,"Atovaquone-proguanil (Malarone); Artemether-lumefantrine (Coartem); Quinine plus Doxycycline, Tetracycline, or Clindamycin; Mefloquine; [i]Primaquine -> For hypnozoites (liver stage)","Prevent mosquito bites -> Bug nets, permethrin treated clothes, DEET; Doxycycline -> Daily; Malarone -> Daily",Malaria,Fever -> Paroxysmal; Chills; Headache -> + travel hx; Anemia -> Severe; CNS sx -> Cerebral malaria,,
Plasmodium vivax,Protozoa,Mosquito-borne -> Anopheles mosquito vector,Invades RBCs -> Reticulocytes only; Hypnozoites -> Liver stage (hidden),,Schuffner's dots,Microscopy (thick and thin); Antigen testing; PCR; Malaria Diagnosis Algorithm,"Atovaquone-proguanil (Malarone); Artemether-lumefantrine (Coartem); Quinine plus Doxycycline, Tetracycline, or Clindamycin; Mefloquine; [i]Primaquine -> For hypnozoites (liver stage)","Prevent mosquito bites -> Bug nets, permethrin treated clothes, DEET; Doxycycline -> Daily; Malarone -> Daily",Malaria,Fever -> Paroxysmal; Chills; Headache -> + travel hx; Anemia -> Severe; CNS sx -> Cerebral malaria,,
Pneumocystis jirovecii (PCP),Fungus,,AIDS defining -> CD4 < 200,,Crushed ping pong balls,GMS (silver) stain; Lacks ergosterol in cell membranes -> traditional antifungals ineffective,Same as prevention; Corticosteroids -> If pO2 <70 or Aa gradient > 35,First: TMP/SMX; Sulfa allergy: Dapsone; G6PD: Atovaquone; G6PD: Pentamidine (Aerosolized),Pneumonia,Fever; Cough -> Nonproductive; Substernal cehst catching or tightness; SOB -> Progressive; CXR -> Ground glass appearance,Human Immunodeficiency Virus (HIV) -> Predisposition,
Poliovirus,Virus,,Largely eliminated in most of world due to vaccination; Humans only susceptible host,,Picornavirus; (+) ssRNA; Non-enveloped; Icosahedral; 3 serotypes ,,,"Salk (IPV) -> Inactivated; Sabin (OPV) -> Oral, live attenuated",Meningitis; Polio,Flaccid paralysis; Respiratory paralysis -> Death,,
Porphyromonas gingivalis,Bacteria,,Associations: DM; Associations: Cardiovascular disease; Associations: Adverse pregnancy outcomes,Gram negative,Rod,,,,Periodontitis,,,
Powassan,Virus,Tick-borne,Flavivirus,,Enveloped,Serology,,,Encephalitis -> 10% fatal,Flu-like symptoms; Fever; Rash; Myalgia; Chills,,
Prion,Infectious protein,Genetic; Iatrogenic; Ingestion,Highly resistant to inactivation,,,,Supportive,,Kuru; Creutzfeldt-Jakob Disease; Variant Creutzfeldt-Jakob Disease; Gerstmann-Streussler-Shanker Disease; Fatal Familial Insomnia,Dementia; Myoclonus; Aphasia/apraxia/agnosia; Visual loss,,
Propionibacterium acnes,Bacteria,,,Gram positive,Rod,Anaerobe -> Aerotolerant,Comedones: Topical retinoids; Inflamed: Add benzoyl peroxide; Severe: Doxycycline; Refractory: Isotretinoin (pregnancy test first),,Acne; Infection of prosthetic devices,,,
Proteus mirabilis,Bacteria,,,Gram negative,Rod,Urease positive -> Alkaline urine; Swarming motility in culture; Lactase negative; Indole negative; H2S positive,,,Urinary tract infection (UTI),Nephrolithiasis -> Struvite (Mg-Ammonia-Phos),,
Pseudomonas aeruginosa,Bacteria,,"Ubiquitous in environment (especially water); Can survive in harsh conditions, including hospital settings; Smells like grapes",Gram negative,Rod; Flagellated; Prominent biofilm production,Aerobe -> Strict; Oxidase positive; Catalase positive; Pyocyanin pigment production; Lactase negative; MacConkey Agar -> Isolate gram negative/enterics,"Resistance to many antibiotics; Anti-pseudomonal penicillin (Piperacillin-tazobactam); Cephalosporin (ceftazadime, cefepime); Aminoglycoside (amikacin, tobramycin, gentamicin); Fluoroquinolones (ciprofloxacin)",Adherence to infection control standards; Persistent infection: Inhaled tobramycin or aztreonam or oral azithromycin,Otitis externa -> Swimmer's ear; Folliculitis; Pneumonia -> In cystic fibrosis patients; Osteomyelitis -> Penetrating injury,,,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 221-227"
Rabies,Virus,,Infection slowly travels from wound to brain -> Treat quickly,,Rhabdovirus; Enveloped; Bullet-shaped; (-) ssRNA; Negri bodies -> Eosinophilic inclusions,Staining of brain tissue; Direct fluorescence antibody stain,No cure once in the brain,Rabies vaccine; Rabies IgG; Wound clensing,Acute encephalitis,Early: Anxiety; Early: Confusion; Early: Agitation; Early: Pruritis (at wound site); Late: Salivation; Late: Delirium; Late: Behavior changes; Late: Hallucinations; Late: Insomnia,,
Respiratory Syncytial Virus,Virus,,Pneumovirus,,,,,Supportive; Palivizumab -> IgG against RSV,Bronchiolitis; Pneumonia -> Young children,Bronchiolitis: 2yo; Bronchiolitis: Wheezing; Bronchiolitis: Dyspnea,,
Rhizopus,Fungus,,"Risk factors: Diabetes mellitus (ketoacidosis); Risk factors: Hematologic malignancy; Risk factors: Transplant (solid organ, stem cell)",,,Sinus endoscopy with Bx & Cx,"Surgical debridement; Amphotericin B; Address risk factors (↑glucose, acidosis)",,Mucormycosis,"Necrotic invasion of palate, orbit, brain; Fever, nasal congestion, purulent nasal discharge, headache, sinus pain",,
Rhinovirus,Virus,,Picornavirus,,,Diagnose with H&P; Serology,Supportive -> Disease largely self-limited,Hand hygiene,Upper Respiratory Infection (URI) -> Common cold,,,
Rickettsia akara,Bacteria,Mite-borne,,Gram negative,Coccobacillus; Intracellular -> Obligate,,,,Rickettsial pox,Rash -> Papulovesicular; Eschar at bite site,,
Rickettsia prowazekii,Bacteria,Lice vector,,Gram negative,Coccobacillus; Intracellular -> Obligate,,,,Epidemic Typhus,Fever; Headache; Myalgia; Rash; Cough; Nausea,,
Rickettsia rickettsii,Bacteria,Tick-borne,SE United States,Gram negative,Coccobacillus; Intracellular -> Obligate,Giemsa stain,Doxycycline; Ceftriaxone -> For meningitis,,Rocky Mountain Spotted Fever (RMSF),Rash -> Starts on wrists and ankles and spreads centrally and to palms and soles; Headache,Erlichia spp -> RMSF without the spots; Orientia tsutsugamushi -> Other Ricketssial Zoonoses; Anaplasma phagocytophilum -> Other Ricketssial Zoonoses,
Rickettsia typhi,Bacteria,,Flea-borne,Gram negative,Coccobacillus; Intracellular -> Obligate,,,,Endemic/Murine typhus,,,
Rotavirus,Virus,,Infects enterocyes of small intestinal villi,,Reovirus; Non-enveloped; Icosaheadral; dsRNA; Segmented genome -> 11 segments,Serology; ELISA -> Stool; RT-PCR,Supportive -> Disease largely self-limited,Rotavirus Vaccine -> Increased risk for intussusception,,"Nausea; Vomting; Diarrhea -> Watery, in children <2; Loss of appetite",,
Rubella,Virus,,TORCH -> Rubella,,Togavirus; Enveloped; (+) ssRNA,Serology; Culture,,MMR vaccine,Rubella/German Measles; Congenital: Cataracts; Congenital: Sensorineural hearing loss; Congenital: PDA,"Prodrome: Generalized tender lymphadenopathy; Rash -> Maculopapular, spreading from face to body; Blueberry muffin spots",,
SARS-CoV,Virus,,,,Coronavirus,,,,Severe Acute Respiratory Syndrome (SARS),Fever; Myalgia; Headache; Diarrhea,,
Salmonella enterica,Bacteria,Raw eggs; Chicken; Ice cream,,Gram negative,Rod,MacConkey Agar -> Non-lactose fermenter; H2S positive,,,Traveler's diarrhea,,,
Salmonella enteriditis,Bacteria,Pet turtles; Reptiles; Ducks; Chickens,,Gram negative,Rod,MacConkey Agar -> Non-lactose fermenter,,,Traveler's diarrhea; Food poisoning; Enterocolitis,Abrupt onset; Fever -> Low grade; Nausea; Vomiting; Diarrhea,,
Salmonella typhi,Bacteria,Contaminated water; Undercooked food,,Gram negative,Rod,MacConkey Agar -> Non-lactose fermenter,Fluoroquinolones; Ceftriaxone; Azithromycin,Inactivated Typhoid Vaccine -> IM; Live Typhoid Vaccine -> PO,Traveler's diarrhea; Typhoid fever; Osteomyelitis -> Patients with sickle cell; Hepatitis; Cholecystitis; Pyelonephritis; Meningitis,Early: Constipation; Late: Bloody diarrhea; Delirium; Coma; Deafness ,,
Sarcoptes scabiei,Mite,,,,,,Permethrin -> Topical; Ivermectin -> PO,,Scabies,"Rash -> Intensely pruritic between fingers, on beltline, or other skin creases",,
Schistosoma spp,Fluke,Freshwater snails -> Waters of Egypt,"Blood-fluke, parasitic flatworm",,Haematobium: Single spine on end; Mansoni: Single lateral spine,,Praziquantel,,Schistosomiasis; Bladder cancer,Diarrhea -> Bloody; Hematuria,,
Shiga Toxin-producing Escherichia coli (STEC),Bacteria,Food poisoning; Crowded places,Similar to EHEC,Gram negative,Rod,,,,Hemorrhagic colitis; Hemolytic uremic syndrome,,,
Shigella spp,Bacteria,Feces; Fingers; Fomites; Flies,Species: S. boydii; Species: S. dysenteriae; Species: S. flexnerii; Species: S. sonnei,Gram negative,Rod,Ferment glucose; Oxidase negative; MacConkey Agar -> Non-lactose fermenter; Anaerobe -> Facultative,,,Reiter syndrome -> Reactive arthritis; Hemolytic uremic syndrome (HUS); Dysentery -> Severe diarrhea + blood + mucus; Traveler's diarrhea,,,
Smallpox,Virus,,Bioterrorism agent -> Category A; Eradicated in 1980,,Poxvirus,Guarnieri bodies -> Cytoplasmic inclusions,,Smallpox vaccine -> Modified vaccinia Ankara virus,Smallpox,"Incubation: Asymptomatic; Initial: Fever; Initial: Headache; Initial: Myalgia; Early: Rash on tongue and mouth; Mid: Pustular rash; Late: Scabs fall off; Rash -> Palms and soles, less dense on body",,
Sporothrix schenkii,Fungus,Rose thorn,,,Cigar-shaped yeast; Dimorphic; Hyphae thin and branched,,Itraconazole; Saturated solution of potassium iodide,,"Sporotrichosis -> ""Rose Gardener's Disease""; Osteomyelitis -> In gardener",Ascending infection of skin along path of lymphatics,Coccidioides immitis -> Dimorphic fungus; Histoplasma capsulatum -> Dimorphic fungus; Candida albicans -> Dimorphic fungus; Blastomyces -> Dimorphic fungus; Mycobacterium marinum -> Similar lesion distribution,
St. Louis Encephalitis virus,Virus,,,,Flavivirus; (+) ssRNA,Serology,,,Saint Louis Encephalitis,Flu-like symptoms; Fever; Rash; Myalgia; Chills,,
Staphylococcus aureus,Bacteria,,"Protein A -> On surface, neutralizes antibodies; Enterotoxin A -> Food poisoning",Gram positive,Cocci in clusters,Catalase positive; Oxidase negative; Coagulase positive,MSSA: Nafcillin; MSSA: Cefazolin; MSSA: Oxacillin; MRSA: Vancomycin; MRSA: TMP-SMX; MRSA: Clindamycin; MRSA: Linezolid; Nec fasc: Ceftriaxone; Necrotizing fasciitis: Clindamycin; Necrotizing fasciitis: Ampicillin,,"Otitis externa; Osteomyelitis -> Most common; Cellulitis -> Deep, abscesses (most common); Food poisoning -> Most common; Necrotizing fasciitis; Community acquired pneumonia (CAP) -> Age >65 s/p viral-illness, or cystic fibrosis; Endocarditis -> Acute; Toxic Shock Syndrome",,,
Staphylococcus epidermidis,Bacteria,,"[i]See implanted device, think epidermidis",Gram positive,Cocci in clusters,Catalase positive; Oxidase negative; Coagulase negative,,,Endocarditis -> Implanted devices,,,
Staphylococcus saprophyticus,Bacteria,,,Gram positive,Cocci in clusters,,,,Urinary tract infection (UTI) -> In young female,,,
Streptobacillus moniliformis,Bacteria,Infected rodents,,Gram negative,Rod; Non-branching filaments,,Penicillin; amoxicillin/clavulanate (Augmentin); doxycycline,,Rat Bite Fever,Rash -> Pustular; Migratory polyarthragias,,
Streptococcus agalactiae,Bacteria,,"Group B streptococci; Virulence factor: Capsules; B is for babies, bacitracin resistant, and beta-hemolytic",Gram positive,"Cocci, in chains",Catalase negative; Beta-hemolytic; Bacitracin resistant; CAMP test positive,,During labor: IV Penicillin G; Ampicillin,Meningitis -> All age groups besides teens; Cellulitis; Septicemia; Pneumonia,,"Streptococcus pneumoniae -> Meningitis in neonates, children, and older adults; Listeria monocytogenes -> Meningitis in neonates and older adults; Escherichia coli -> Meningitis in neonates; Haemophilus influenzae -> Meningitis in children and older adults",
Streptococcus bovis,Bacteria,,,,,,,,[i]Colorectal cancer -> Get colonoscopy; Endocarditis -> Bacterial,,,
Streptococcus mutans,Bacteria,,Dental plaque,Gram positive,Cocci,,,,Dental caries,,,
Streptococcus pneumoniae,Bacteria,,Classic respiratory bug,Gram positive,Lancet-Shaped Diplococci,Alpha-hemolytic; Optochin senstive; Bile soluble,,Pneumococcal vaccine; At risk <65: PPSV23; All >65: PCV13 then PPSV23,Acute otitis media (AOM); Pneumonia -> Pneumococcal; Meningitis -> All age groups; Upper respiratory infection (URI); Endocarditis -> Acute,,Streptococcus agalactiae -> Meningitis in neonates and children; Listeria monocytogenes -> Meningitis in neonates; Escherichia coli -> Meningitis in neonates; Neisseria meningitidis -> Meningitis in children; Haemophilus influenzae -> Meningitis in children,
Streptococcus pyogenes ,Bacteria,,"Group A strep (GAS); Group A, Beta-Hemolytic Strep (GABHS); Streptococcal pyrogenic exotoxins and streptococcal superantigen",Gram positive,Cocci,Beta-hemolytic; Bacitracin-sensitive,Penicillin; Necrotizing fasciitis: 3rd generation cephalosporin + clinda + ampicillin,Hand hygiene,"Tonsillitis (""Strep Throat"") -> Centor Criteria; Rheumatic Fever; Post-streptococcal glomerulonephritis (PSGN); Scarlet fever -> 2 days after pharyngitis, sandpaper rash, strawberry tongue; Impetigo -> Cutaneous crusting (face); Necrotizing fasciitis; Erysipelas; Toxic Shock Syndrome; Cellulitis -> Superficial, no abscess",,,
Streptococcus viridans,Bacteria,,"More accurately labeled Viridans Strep to acknowledge that this is a grouping; Subtypes: Sanguinis, mitis, oralis, mutans, sobrinus, milleri",Gram positive,Cocci,Alpha-hemolytic; Optochin resistant; Bile insoluble,,,"Endocarditis -> Gingival manipulaition, dental carries",,,
Strongyloides stercoralis,Nematode,,Exacerbated by immunosuppressive therapy -> Test before starting corticosteroids,,Rhabditiform larvae,Fecal smear,,,Strongyloidiasis,Asymptomatic -> Majority; Abdominal pain; Cough; Diarrhea; Bloating; Malabsorption,,
Taenia saginatum,Cestode,Undercooked beef,,,,,Praziquantel; Abendazole; Corticosteroids,,,,,
Taenia solium,Cestode,Raw pork,Pork tapeworm,,,,Praziquantel; Abendazole; Corticosteroids,,Neurocysticercosis,Tissue-specific symptoms (muscle vs. brain); Adult-onset seizures; Calcific brain deposits,,
Toxocara spp,Nematode,Canis: Dog feces; Catis: Cat feces,,,,Serology; ELISA,Abendazole; Corticosteroids,,Toxocariasis,Visceral Larva Migrans -> Sx dependent on location; Ocular Larva Migrans -> Unilateral vision loss,,
Toxoplasma gondii,Protozoa,Cat feces -> Avoid in pregnancy; Undercooked meat -> Avoid in pregnancy,TORCH -> Toxo; AIDS defining -> CD4 < 100,,Intracellular -> Obligate,IgG toxoplasma antibody; CT/MRI: Multiple ring-enhancing lesions,Combination: Pyrimethamine; Combination: Sulfadiazine; Combination: Folate; Leucovorin,TMP/SMX -> CD4 <100; Atovaquone -> CD4 <100 and sulfa allergy,Toxoplasmosis -> Significant in pregnancy; Macrocephaly; Chorioretinitis,Diffuse intracranial calcifications; hydrocephalus; Lethargy; Seizures; AMS; Localized weakness,Human Immunodeficiency Virus (HIV) -> Predisposition,
Treponema pallidum,Bacteria,TORCH -> Other = syphilis,Disease presents in 3 stages with significant latency period,Does not gram stain,Spirochete,Non-treponemal: 1st (sensitive); Non-treponemal: VDRL; Non-treponemal: RPR; Treponemal: 2nd (specific); Treponemal: FTA-ABS; Treponemal: TP-PA; extremely difficult to grow in culture; Darkfield microscopy -> Gold standard (rarely used),Penicillin; Pregnant: Amoxicillin,Safe sex; STI screening,Syphilis; Jarisch-Herxheimer reaction -> Systemic inflammation s/p treatment,Primary: Painless genital chancre; Secondary: Fever; Secondary: Maculopapular rash (including palms and soles); Secondary: Condylomata lata; Tertiary: Syphilitic aortitis; Tertiary: Neurosyphilis (tabes dorsalis); Tertiary: Argyll Robertson pupil; Tertiary: Gummas; Congenital: Hutchinson teeth; Congenital: Deafness; Congenital: Periostitis; Congenital: Snuffles; [i]Epitrochlear nodes,"Haemophilus ducreyi -> Painful genital ulcer, painful inguinal lymphadenopathy; Chlamydia trachomatis -> (LGV) Painless genital ulcer, painful inguinal lymphadenopathy",
Trichinella spiralis,Nematode,Undercooked meat,,,,Serology; Muscle biopsy; Ig ELISA,Mebendazole; Albendazole; Thiabendazole; Corticosteroids,,Trichinellosis,Myalgia; Edema -> Periorbital; Eosinophilia -> >20%; Splinter hemorrhages,,
Trichomonas vaginalis,Protozoa,,,,Flagellated,Anaerobe -> Aerotolerant; Wet mount: Motile organisms on microscopy,Metronidazole,Safe sex,Trichomoniasis (STI); Vaginitis,Frothy green vaginal discharge; Foul-smelling odor; Strawberry cervix,Gardnerella vaginalis -> Vaginal infections; Candida albicans -> Vaginal infections,Trichomonas (Wikipedia)
Trichophyton rubrum,Fungus,,,,,,Terbinafine -> Topical; Clotrimazole -> Topical,,Tinea corporis (ringworm),,,
Trichuris spp,Nematode,Soil-transmitted helminth,Whipworm,,,,,,Trichuriasis,"Light infection: Asymptomatic; Heavy infection: Diarrhea (mixture of mucus, water, and blood)",,
Tropheryma whippelii,Bacteria,,,Gram positive,Bacillus,Intestinal biopsy with PAS-positive macrophages,TMP-SMX; Doxycycline,,Whipple's disease -> Farmers,Malabsorptive diarrhea; Migratory non-deforming arthritis,,
Trypanosoma brucei gambiense,Protozoa,Tsetse fly,West Africa,,,Serology; wet prep and Giemsa; CATT (Card Agglutination Trypanosomiasis Test),Early: Pentamidine; Late: Eflornithine/nifurtimox,Reduce human-tsetse fly contact,African Trypanosomiasis/Sleeping Sickness -> Chronic,Chancre at innoculation site; Fever; Pruritus; Headache -> Persistent; Arthralgia; Myalgia; Anemia; Monocytosis; Hepatomegaly; Winterbottom's sign; Poor concentration; Personality changes; Daytime somnolence; Tremor; Ataxia; Coma,,
Trypanosoma brucei rhodesiense,Protozoa,Tsetse fly,East Africa; Tourists in game parks,,,Wet prep and Giemsa,Early: Suramin; Late: Melarsoprol (arsenical),Reduce human-tsetse fly contact,African Trypanosomiasis/Sleeping Sickness -> Acute,Chancre -> At innoculation site; Fever; Pruritus; Headache; Arthralgia; Myalgia; Anemia; Monocytosis; Hepatomegaly; Winterbottom's sign; DIC; Thrombocytopenia; Shock,,
Trypanosoma cruzi,Protozoa,Kissing bug (Reduviidae),South America,,"""C"" shaped trypomastigote with prominent kinetoplast",Serology; PCR; Xenodiagnosis -> Diagnose in bug; Demonstration of trypomastigotes in peripheral circulation,Benznidazole; Nifurtimox,Eliminate domestic vectors; screen blood and organ donors; maternal screening and treatment of infected newborns; Find and treat school age children; Hand hygiene -> Food preparation,Chagas Disease,"Myocarditis; Dilated cardiomyopathy/esophagus/colon; Romana's sign -> Unilateral periorbital swelling; Immunocompromised: CNS abscess-like lesions, meningoencephalitis, acute myocarditis, cutaneous lesions, panniculitis",,
Varicella Zoster Virus,Virus,,,,"Herpesviridae; dsDNA, Enveloped",Tzanck smear -> Multinucleated giant cells,Shingles: Famciclovir; Acyclovir,Chickenpox vaccine; Shingles vaccine,Chicken Pox; Shingles; Encephalitis; Pneumonia,Fever; Headache; Vesicular lesions (dew drops on a rose petal),,
Venezuelan Equine Encephalitis (VEE),Virus,,,,Togavirus; Enveloped,Serology,,Vaccine,Eastern Equine Encephalitis,Flu-like symptoms,,
Vibrionaceae cholerae,Bacteria,,Enterotoxin constitutively activates adenyl cylcase -> Diarrhea,Gram negative,"Rod, comma-shaped",Glucose fermenter; Oxidase positive,Oral rehydration therapy; Ringers lactate for IV therapy,Killed whole cell; Live attenuated vaccines,Cholera,Diarrhea -> Rice water stool; Absent peripheral pulses; Hypotension; Hyperventilation; Muscle cramps,,
Vibrionaceae parahaemolyticus,Bacteria,Raw oysters/shellfish; Contaminated water,Often contaminated oysters,Gram negative,"Rod, comma-shaped",Glucose fermenter; Oxidase positive,,,,"Diarrhea -> Acute watery, occasionally with blood; Abdominal pain; Vomiting",,
Vibrionaceae vulnificus,Bacteria,Raw oysters/shellfish; Contaminated water,,Gram negative,"Rod, comma-shaped",,Combination: Doxcycline; Combination: Ceftriaxone,Avoid exposing open wounds to warm seawater; Wear gloves when handling raw shellfish; avoid cross-contamination of raw shellfish with other foods; cook shellfish throroughly,Osteomyelitis -> Mention of oysters or cirrhosis,Hemorrhagic bullae,,
West Nile virus,Virus,Mosquito to bird (crows),High index of suspicion given sudden onset of encephalitis in >50yo durring Summer/Fall,,Flavivirus; (+) ssRNA,ELISA for IgM -> Serum or CSF,"Supportive -> Hospitalization, fluids, respiratory support",,West Nile fever,"Mild: Sudden onset febrile illness; Mild: Malaise; Mild: Nausea; Mild: Vomiting; Mild: Headache; Severe: Fever; Severe: Weakness; Severe: Rash on neck, trunk, arms, legs; Severe: Myelitis; Severe: Ataxia; Severe: Seizures; Severe: Optic neuritis; Severe: AMS",,
Western Equine Encephalitis (WEE),Virus,,Togavirus (alphavirus),,Enveloped,Serology,,Vaccine,Western Equine Encephalitis,Flu-like symptoms,,
Wolbachia,Bacteria,One of the most common parasitic microbes; Necessary for the survival of many arthropods,,Gram negative,,,,,,,,Wolbachia (Wikipedia)
Wuchereria bancrofti,Nematode,Mosquito-borne,Adults located in lymphatics; Microfilariae in blood at night,,,Antigen detection,Diethylcarbamazine (DEC),,Lymphatic filariasis,Lymphangitis; lymphatic obstruction,,
Yellow fever virus,Virus,Arbovirus -> Aedes mosquito,Endemic to South America and sub-Saharan Africa,,Flavivirus; (+) ssRNA,Serology,,Live attenuated vaccine (17D),Yellow Fever,Chills; Fever; Headache; Myalgia -> Generalized; GI complaints; GI hemorrhage,,
Yersinia enterocolitica,Bacteria,,Grows well at room temperature and 4°C,Gram negative,Rod,Lactose fermenter,,,Enterocolitis; Reiter syndrome -> Reactive arthritis; mesenteric lymphadenitis,Fever; Abdominal pain; Diarrhea -> Inflammatory,,
Yersinia pestis,Bacteria,Fleas; Rats; Prarie dogs,Bioterrorism agent -> Category A,Gram negative,Coccobacillus (safety-pin appearance),MacConkey Agar -> Isolate gram negative/enterics; Wayson staining -> Light blue bacilli with dark blue polar bodies,,,Bubonic plague; Pneumonic plague -> More likely for biotoerrorism; Septicemic plague,,,
Yersinia pseudotuberculosis,Bacteria,,Grows well at room temperature and 4°C,Gram negative,Rod,Nonlactose fermenter,,,Enterocolitis; Reiter syndrome -> Reactive arthritis; mesenteric lymphadenitis,Fever; Abdominal pain; Diarrhea -> Inflammatory,,
Zika virus,Virus,Arbovirus -> Aedes mosquito; Sexual transmission; Intrauterine; Blood products,,,Flavivirus; (+) ssRNA; Enveloped;,Serology -> Abs potentially cross-reactive with other Flaviviruses,Supportive,Vector control / mosquito avoidance; Safe sex; Travel advisories,Asymptomatic -> ~80%; Guillian-Barre -> Rare; Congential birth defects,"Fever, Maculopapular rash; Arthralgia; Headache; Myalgia; Conjunctivitis; Congenital infection: Microcephaly; Congenital infection: Fetal demise ",,